title,release_date,tmdb_vote_count,tmdb_vote_average,genre_names,budget,revenue,runtime_in_min,tmdb_popularity,production_company_name,production_country_name,spoken_languages,director,writer,actors,imdb_rating,imdb_votes,metascore,age_rating,awards,rotten_tomatoes_rating,meta_critic_rating
Logan Lucky,2017-08-17,3550,6.727,"Comedy, Crime",29000000.0,48453605.0,118.0,22.678,Fingerprint Releasing,United States of America,English,Steven Soderbergh,Jules Asner,"Channing Tatum, Adam Driver, Daniel Craig",7.0,"168,932",78.0,PG-13,2 wins & 11 nominations total,92.0,78.0
The Hitman's Bodyguard,2017-08-16,6246,6.9,"Action, Comedy, Crime, Thriller",30000000.0,176586701.0,118.0,51.157,"Campbell Grobman Films, East Light Media, Nu Boyana Film Studios, Tom de Mol Productions, Summit Entertainment, Millennium Media, Davis Films, Cristal Pictures, Lionsgate, TIK Films","Bulgaria, Canada, France, Hong Kong, Netherlands, United States of America","French, English, Russian",Patrick Hughes,Tom O'Connor,"Ryan Reynolds, Samuel L. Jackson, Gary Oldman",6.9,"253,357",47.0,R,1 win & 8 nominations total,44.0,47.0
The End?,2017-08-14,382,6.145,Horror,,185469.0,100.0,7.278,"Mompracem, RAI Cinema, EuroVideo Medien GmbH, Makinarium, RAI",Italy,Italian,Daniele Misischia,"Cristiano Ciccotti, Daniele Misischia","Alessandro Roja, Roberto Scotto Pagliara, Benedetta Cimatti",5.4,"2,205",,,,,
Batman and Harley Quinn,2017-08-14,614,6.1,"Adventure, Action, Animation, Science Fiction",3500000.0,39091.0,74.0,11.675,"DC Entertainment, Warner Bros. Animation",United States of America,English,Sam Liu,"Bruce Timm, James Krieg, Bob Kane","Kevin Conroy, Melissa Rauch, Paget Brewster",5.9,"15,666",,PG-13,2 nominations total,50.0,
Naked,2017-08-11,1280,5.8,Comedy,,,96.0,10.971,Broken Road Productions,United States of America,English,Michael Tiddes,"Rick Alvarez, Mårten Knutsson, Torkel Knutsson","Marlon Wayans, Regina Hall, Dennis Haysbert",5.4,"21,995",36.0,TV-14,,0.0,36.0
Good Time,2017-08-11,2847,7.2,"Crime, Thriller",,3283369.0,102.0,15.923,"Elara Pictures, Rhea Films",United States of America,English,"Benny Safdie, Josh Safdie","Ronald Bronstein, Josh Safdie","Robert Pattinson, Benny Safdie, Jennifer Jason Leigh",7.3,"144,038",80.0,R,6 wins & 47 nominations,91.0,80.0
Cage Dive,2017-08-11,322,4.6,"Horror, Drama, Thriller",,863413.0,80.0,7.551,"Odin's Eye Entertainment, Just One More Productions Pty. Ltd",Australia,English,Gerald Rascionato,"Gerald Rascionato, Stephen Lister","Joel Hogan, Josh Potthoff, Megan Peta Hill",4.2,"5,285",,R,,25.0,
Ingrid Goes West,2017-08-11,978,6.4,"Comedy, Drama",,24931915.0,97.0,9.9,"Star Thrower Entertainment, 141 Entertainment, Mighty Engine",United States of America,English,Matt Spicer,"David Branson Smith, Matt Spicer","Aubrey Plaza, Elizabeth Olsen, O'Shea Jackson Jr.",6.6,"49,396",71.0,R,2 wins & 10 nominations total,84.0,71.0
The Glass Castle,2017-08-11,832,7.144,Drama,9000000.0,22088533.0,127.0,14.815,"Lionsgate, Netter Productions, TIK Films, Waypoint Entertainment","Hong Kong, United States of America",English,Destin Daniel Cretton,"Destin Daniel Cretton, Andrew Lanham, Jeannette Walls","Brie Larson, Woody Harrelson, Naomi Watts",7.1,"39,389",56.0,PG-13,1 win & 3 nominations total,52.0,56.0
The Nut Job 2: Nutty by Nature,2017-08-11,411,5.942,"Animation, Family, Adventure, Comedy",40000000.0,65100000.0,91.0,20.133,"GulfStream Pictures, Redrover, ToonBox Entertainment, Open Road Films","Canada, South Korea, United States of America",English,Cal Brunker,"Scott Bindley, Cal Brunker, Bob Barlen","Will Arnett, Maya Rudolph, Bobby Cannavale",5.5,"7,513",36.0,PG,1 win & 3 nominations total,15.0,36.0
All I See Is You,2017-08-10,583,5.2,"Mystery, Thriller, Drama",30000000.0,646946.0,110.0,10.989,"2DUX², SC Films International, Wing and a Prayer Pictures, LINK Entertainment, SC Films Thailand Co., Universal Pictures",United States of America,"English, Spanish, Thai",Marc Forster,"Sean Conway, Marc Forster","Blake Lively, Jason Clarke, Ahna O'Reilly",5.4,"13,544",43.0,R,1 nomination,30.0,43.0
Little Evil,2017-08-08,926,5.569,"Comedy, Horror",,,94.0,9.265,"Bluegrass Films, Mandalay Pictures",United States of America,English,Eli Craig,Eli Craig,"Evangeline Lilly, Owen Atlas, Adam Scott",5.7,"23,700",,TV-MA,1 nomination,92.0,
Sharknado 5: Global Swarming,2017-08-06,330,4.7,"Science Fiction, Action, Comedy, TV Movie, Horror",3000000.0,,90.0,8.971,"Syfy, The Asylum, BUFO","United States of America, Bulgaria","English, Italian",Anthony C. Ferrante,"Thunder Levin, Scotty Mullen","Ian Ziering, Tara Reid, Cassandra Scerbo",3.9,"7,150",,TV-14,1 nomination,30.0,
Mary Shelley,2017-08-06,991,7.0,"Romance, Drama",,,120.0,9.899,"HanWay Films, Gidden Media, Parallel Films, BFI, Ralfish Films, Bac Cinema, Fís Éireann/Screen Ireland, Film Fund Luxembourg, Head Gear Films, Metrol Technology","Ireland, Luxembourg, United Kingdom, United States of America",English,Haifaa Al-Mansour,"Emma Jensen, Haifaa Al-Mansour","Elle Fanning, Bel Powley, Owen Richards",6.4,"18,290",49.0,PG-13,2 wins & 8 nominations total,41.0,49.0
A Bad Moms Christmas,2017-08-04,2098,6.322,Comedy,28000000.0,130560428.0,104.0,13.421,"STXfilms, Robert Simonds Productions, Suzanne Todd Productions, Huayi Brothers Pictures, Universal Pictures",United States of America,English,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore","Mila Kunis, Kristen Bell, Kathryn Hahn",5.6,"60,048",42.0,R,1 win & 1 nomination total,32.0,42.0
Columbus,2017-08-04,400,7.1,Drama,700000.0,1015744.0,104.0,10.28,"Nonetheless Productions, Depth of Field, Superlative Films",United States of America,"English, Korean",Kogonada,Kogonada,"John Cho, Haley Lu Richardson, Parker Posey",7.2,"21,920",89.0,Not Rated,12 wins & 32 nominations total,96.0,89.0
Annabelle: Creation,2017-08-03,5635,6.6,Horror,15000000.0,306592201.0,110.0,44.867,"Atomic Monster, New Line Cinema, The Safran Company, RatPac Entertainment",United States of America,"English, Spanish",David F. Sandberg,Gary Dauberman,"Anthony LaPaglia, Samara Lee, Miranda Otto",6.5,"156,375",62.0,R,1 win & 8 nominations total,70.0,62.0
Wind River,2017-08-03,5291,7.433,"Crime, Mystery, Thriller",11000000.0,44998252.0,107.0,38.616,"Savvy Media Holdings, Thunder Road, Film 44, Acacia Filmed Entertainment, Riverstone Pictures, Voltage Pictures, Synergics Films, Star Thrower Entertainment, Tunica-Biloxi Tribe of Louisiana, The Fyzz, Wild Bunch","France, United Kingdom, United States of America",English,Taylor Sheridan,Taylor Sheridan,"Elizabeth Olsen, Jeremy Renner, Graham Greene",7.7,"291,037",73.0,R,17 wins & 27 nominations total,87.0,73.0
The Dark Tower,2017-08-03,5149,5.759,"Fantasy, Action, Science Fiction",60000000.0,113231078.0,95.0,36.595,"Columbia Pictures, MRC, Imagine Entertainment, Weed Road Pictures",United States of America,English,Nikolaj Arcel,"Akiva Goldsman, Jeff Pinkner, Anders Thomas Jensen","Idris Elba, Matthew McConaughey, Tom Taylor",5.6,"149,908",34.0,PG-13,4 nominations total,16.0,34.0
Kidnap,2017-08-03,1272,6.2,"Action, Thriller",21000000.0,30718107.0,95.0,14.229,"Ingenious Media, di Bonaventura Pictures, Gold Star Films, Lotus Entertainment, 606 Films, Well Go USA Entertainment, Rumble Entertainment","United Kingdom, United States of America",English,Luis Prieto,Knate Lee,"Halle Berry, Sage Correa, Chris McGinn",5.9,"39,993",44.0,R,2 wins & 4 nominations total,34.0,44.0
A Taxi Driver,2017-08-02,1012,8.071,"Action, Drama, History",12820005.0,81927980.0,138.0,15.82,"The LAMP, Showbox",South Korea,"Korean, Japanese, English, German",Hun Jang,Yu-na Eom,"Song Kang-ho, Thomas Kretschmann, Yoo Hae-jin",7.9,"33,909",69.0,Not Rated,25 wins & 31 nominations total,97.0,69.0
S.W.A.T.: Under Siege,2017-08-01,371,5.8,"Action, Crime, Thriller",,,89.0,19.787,Original Film,United States of America,English,Tony Giglio,"Jonas Barnes, Keith Domingue, Robert Hamner","Sam Jaeger, Adrianne Palicki, Michael Jai White",4.6,"4,745",,R,,,
Loving,2017-04-21,506,5.1,Romance,,,105.0,2.308,"Avalon Productions, TVE","Spain, United States of America",Spanish,Esteban Crespo,"Esteban Crespo, Mario Fernández Alonso","María Pedraza, Pol Monen, Natalia Tena",5.1,"5,199",,,3 nominations,,
Detroit,2017-07-28,1642,7.3,"Crime, Drama, Thriller, History",34000000.0,23400000.0,143.0,13.144,"Annapurna Pictures, Page 1, Harpers Ferry",United States of America,English,Kathryn Bigelow,Mark Boal,"John Boyega, Anthony Mackie, Algee Smith",7.3,"56,990",77.0,R,5 wins & 21 nominations total,82.0,77.0
Call Me by Your Name,2017-07-28,12187,8.1,"Romance, Drama",3500000.0,43143046.0,132.0,62.301,"La Cinéfacture, Frenesy Film, M.Y.R.A. Entertainment, RT Features, Water's End Productions","Brazil, France, Italy, United States of America","French, English, Italian",Luca Guadagnino,"James Ivory, André Aciman","Timothée Chalamet, Armie Hammer, Michael Stuhlbarg",7.8,"333,865",94.0,R,Won 1 Oscar. 107 wins & 263 nominations total,95.0,94.0
The Party,2017-07-27,546,6.35,"Comedy, Drama",,3300000.0,71.0,8.624,"Adventure Pictures, Great Point Media, Oxwich Media Limited, Copenhagen Film Fund","Denmark, United Kingdom",English,Sally Potter,"Sally Potter, Walter Donohue","Timothy Spall, Kristin Scott Thomas, Patricia Clarkson",6.5,"21,555",73.0,R,4 wins & 9 nominations,82.0,73.0
Brigsby Bear,2017-07-27,380,7.1,"Comedy, Drama",,532669.0,97.0,10.017,"3311 Productions, Lord Miller, Kablamo!, YL Pictures",United States of America,English,Dave McCary,"Kevin Costello, Kyle Mooney","Kyle Mooney, Jorge Lendeborg Jr., Matt Walsh",7.3,"18,081",67.0,PG-13,5 wins & 11 nominations,83.0,67.0
The Only Living Boy in New York,2017-07-27,330,6.4,Drama,,2600000.0,89.0,13.992,"Big Indie Pictures, Bona Fide Productions",United States of America,"Spanish, English",Marc Webb,Allan Loeb,"Callum Turner, Kate Beckinsale, Pierce Brosnan",6.4,"18,673",33.0,R,1 win total,33.0,33.0
The Son of Bigfoot,2017-07-26,483,6.5,"Family, Animation, Comedy",30000000.0,46372519.0,92.0,16.099,"StudioCanal, nWave Pictures, Belga Productions, Belga Films, Illuminata Pictures","Belgium, France, United States of America",English,"Jérémie Degruson, Ben Stassen","Bob Barlen, Cal Brunker","Cinda Adams, Mari Devon, Kirk Thornton",6.1,"8,467",,PG,,75.0,
Atomic Blonde,2017-07-26,6256,6.43,"Action, Adventure, Thriller",30000000.0,100014025.0,115.0,38.505,"Focus Features, Denver & Delilah Productions, 87Eleven, Sierra/Affinity, Closed on Mondays Entertainment, TGIM Films, Film i Väst","Germany, Hungary, Sweden, United States of America","Swedish, English, German, Russian",David Leitch,"Kurt Johnstad, Antony Johnston, Sam Hart","Charlize Theron, James McAvoy, John Goodman",6.7,"211,841",63.0,R,14 wins & 20 nominations total,79.0,63.0
The Emoji Movie,2017-07-23,3119,5.4,"Animation, Family, Comedy",50000000.0,216909830.0,86.0,24.71,"Columbia Pictures, Sony Pictures Animation, LStar Capital",United States of America,English,Tony Leondis,"Tony Leondis, Eric Siegel, Mike White","T.J. Miller, James Corden, Anna Faris",3.4,"74,304",12.0,PG,6 wins & 4 nominations total,6.0,12.0
Girls Trip,2017-07-21,1503,6.835,"Comedy, Romance, Adventure",19000000.0,140376621.0,122.0,19.2,"Will Packer Productions, Universal Pictures, Perfect World Pictures",United States of America,English,Malcolm D. Lee,"Erica Rivinoja, Kenya Barris, Tracy Oliver","Regina Hall, Queen Latifah, Jada Pinkett Smith",6.2,"41,464",71.0,R,13 wins & 42 nominations total,91.0,71.0
Descendants 2,2017-07-21,1678,7.35,"Family, Fantasy, TV Movie, Adventure",,,111.0,28.357,"Bad Angels Productions, Ltd., 5678 Productions",United States of America,English,Kenny Ortega,"Sara Parriott, Josann McGibbon","Dove Cameron, Cameron Boyce, Sofia Carson",6.3,"16,217",,TV-G,3 nominations total,83.0,
First Kill,2017-07-21,558,5.7,"Action, Thriller, Crime",10000000.0,,97.0,9.849,"Ingenious Media, Brookstreet Pictures, River Bay Films, Kirk Shaw Productions, Aboretum Productions, The Fyzz, EFO Films, Lionsgate Premiere","United Kingdom, United States of America",English,Steven C. Miller,Nick Gordon,"Bruce Willis, Hayden Christensen, Ty Shelton",5.0,"12,615",39.0,R,,15.0,39.0
Valerian and the City of a Thousand Planets,2017-07-20,7536,6.628,"Adventure, Science Fiction, Action",177200000.0,225973340.0,137.0,37.57,"Belga Films, River Road Entertainment, Grive Productions, EuropaCorp, UFA, Fundamental Films, Gulf Film, Novo Pictures, TF1 Films Production, Orange Studio, BNP Paribas Fortis","France, Germany, United Arab Emirates, United States of America, Belgium, Canada, China","French, English",Luc Besson,"Pierre Christin, Jean-Claude Mézières, Luc Besson","Dane DeHaan, Cara Delevingne, Clive Owen",6.4,"202,202",51.0,PG-13,11 nominations total,47.0,51.0
Dunkirk,2017-07-19,16617,7.45,"War, Action, Drama",150000000.0,527000000.0,107.0,47.611,"Warner Bros. Pictures, Syncopy","United Kingdom, United States of America","English, French, German",Christopher Nolan,Christopher Nolan,"Fionn Whitehead, Barry Keoghan, Mark Rylance",7.8,"765,975",94.0,PG-13,Won 3 Oscars. 68 wins & 236 nominations total,92.0,94.0
#realityhigh,2017-07-17,1022,6.3,Comedy,,,99.0,9.459,"Court Five, Reality High Productions",United States of America,English,Fernando Lebrija,"Brandon Broussard, Hudson Obayuwana, Jana Savage","Nesta Cooper, Keith Powers, Alicia Sanz",5.1,"7,020",,TV-14,,,
Radius,2017-07-17,665,6.531,"Thriller, Drama, Horror",,14097.0,93.0,39.781,"Title Media, EMAfilms, Peripatetic Pictures",Canada,English,"Caroline Labrèche, Steeve Léonard","Caroline Labrèche, Steeve Léonard","Diego Klattenhoff, Charlotte Sullivan, Brett Donahue",6.2,"20,423",,Not Rated,2 nominations,93.0,
Tokyo Ghoul,2017-07-16,355,7.1,"Action, Drama, Thriller",,5379371.0,119.0,11.242,Geek Sight,Japan,Japanese,Kentarô Hagiwara,"Sui Ishida, Ichirô Kusuno","Masataka Kubota, Fumika Shimizu, Nobuyuki Suzuki",5.7,"3,970",,TV-MA,,82.0,
No Game No Life: Zero,2017-07-15,391,7.8,"Adventure, Animation, Drama, Fantasy, Romance",,6356284.0,106.0,9.004,"Madhouse, AT-X, KADOKAWA, movic, Sentai Filmworks, Frontier Works",Japan,Japanese,Atsuko Ishizuka,"Yû Kamiya, Jukki Hanada","Alexandra Bedford, Jessica Boone, Ricardo Contreras",7.3,"4,828",,TV-14,3 nominations total,,
Pokémon the Movie: I Choose You!,2017-07-15,627,7.1,"Family, Animation, Adventure, Fantasy",,37552144.0,98.0,25.386,"OLM, Pikachu Project, Shogakukan, Shogakukan-Shueisha Productions, TV Tokyo, The Pokémon Company, TakaraTomy, jeki, TOHO",Japan,Japanese,Kunihiko Yuyama,"Takeshi Shudô, Satoshi Tajiri, Shôji Yonemura","Unshô Ishizuka, Rica Matsumoto, Sarah Natochenny",6.3,"7,689",,PG,1 nomination,33.0,
Shot Caller,2017-07-13,2057,6.957,"Crime, Drama, Thriller",,,121.0,33.562,"DirecTV, Bold Films, Participant, Relativity Media",United States of America,"French, English",Ric Roman Waugh,Ric Roman Waugh,"Nikolaj Coster-Waldau, Omari Hardwick, Lake Bell",7.3,"104,389",59.0,R,1 nomination,69.0,59.0
Tulip Fever,2017-07-13,696,6.5,"Drama, Romance",25000000.0,9204549.0,107.0,13.76,"The Weinstein Company, Worldview Entertainment, Paramount Pictures, Ruby Films","United Kingdom, United States of America",English,Justin Chadwick,"Deborah Moggach, Tom Stoppard","Alicia Vikander, Dane DeHaan, Jack O'Connell",6.2,"23,600",38.0,R,1 nomination total,10.0,38.0
The Humanity Bureau,2017-07-11,365,4.8,"Science Fiction, Thriller",6000000.0,17544173.0,94.0,8.326,"Minds Eye Entertainment, VMI Worldwide, Bridgegate Pictures",United States of America,English,Rob W. King,"Dave Schultz, Travis Cloyd","Nicolas Cage, Sarah Lind, Jakob Davies",4.5,"12,304",,R,1 win total,25.0,
War for the Planet of the Apes,2017-07-11,9120,7.204,"Drama, Science Fiction, War",150000000.0,490719763.0,140.0,49.556,"20th Century Fox, TSG Entertainment, Chernin Entertainment",United States of America,English,Matt Reeves,"Mark Bomback, Matt Reeves, Rick Jaffa","Andy Serkis, Woody Harrelson, Steve Zahn",7.4,"311,304",82.0,PG-13,Nominated for 1 Oscar. 28 wins & 65 nominations total,94.0,82.0
6 Days,2017-07-09,697,6.0,"Action, Drama, History, Thriller",1500000.0,,95.0,10.994,"XYZ Films, New Zealand Film Commission, Ingenious Media, GFC Films, Lipsync Productions, Fightertown, Imagezone, Dog with a Dog Productions","New Zealand, United Kingdom",English,Toa Fraser,"Glenn Standring, Rusty Firmin","Jamie Bell, Mark Strong, Abbie Cornish",6.2,"25,439",36.0,R,1 win & 2 nominations total,65.0,36.0
Mary and The Witch's Flower,2017-07-08,799,7.117,"Adventure, Animation, Family, Fantasy",,42170089.0,103.0,21.03,STUDIO PONOC,Japan,Japanese,Hiromasa Yonebayashi,"Mary Stewart, Riko Sakaguchi, Hiromasa Yonebayashi","Hana Sugisaki, Ryunosuke Kamiki, Yûki Amami",6.8,"17,421",74.0,PG,8 nominations,89.0,74.0
Wish Upon,2017-07-07,1376,5.7,"Horror, Thriller, Fantasy",12000000.0,14300000.0,91.0,11.698,"Orion Pictures, Broad Green Pictures, Busted Shark Productions","Canada, United States of America",English,John R. Leonetti,Barbara Marshall,"Joey King, Ryan Phillippe, Ki Hong Lee",5.1,"23,592",32.0,PG-13,2 nominations,20.0,32.0
Spider-Man: Homecoming,2017-07-05,21990,7.332,"Action, Adventure, Science Fiction, Drama",175000000.0,880166924.0,133.0,90.585,"Marvel Studios, Pascal Pictures, LStar Capital, Columbia Pictures",United States of America,English,Jon Watts,"Jonathan Goldstein, John Francis Daley, Jon Watts","Tom Holland, Michael Keaton, Robert Downey Jr.",7.4,"747,042",73.0,PG-13,8 wins & 10 nominations total,92.0,73.0
Revolt,2017-07-01,370,5.5,"Science Fiction, Action",4000000.0,24416.0,87.0,10.322,"Automatik Entertainment, Tea Shop & Film Company, Movie Power, Voltage Pictures, 42",United Kingdom,English,Joe Miale,"Joe Miale, Rowan Athale","Lee Pace, Bérénice Marlohe, Jason Flemyng",5.3,"10,392",,R,1 nomination,60.0,
Inconceivable,2017-06-30,340,5.6,"Crime, Drama, Thriller",,,105.0,12.88,"Baker Entertainment Group, EFO Films","United States of America, United Kingdom",English,Jonathan Baker,Chloe King,"Gina Gershon, Nicky Whelan, Nicolas Cage",5.2,"10,996",,R,,38.0,
The Little Hours,2017-06-30,572,5.8,Comedy,,1647675.0,90.0,28.413,"Destro Films, Dublab Media, Productivity Media, Gunpowder & Sky, StarStream Media, Bow + Arrow Entertainment, Foton Pictures, Exhibit Entertainment","Canada, United States of America",English,Jeff Baena,"Giovanni Boccaccio, Jeff Baena","Alison Brie, Dave Franco, Kate Micucci",5.8,"26,334",69.0,R,1 win & 5 nominations total,78.0,69.0
Amityville: The Awakening,2017-06-30,1029,5.3,"Horror, Thriller",12000000.0,8481997.0,87.0,16.02,"Blumhouse Productions, Miramax, Dimension Films",United States of America,English,Franck Khalfoun,Franck Khalfoun,"Jennifer Jason Leigh, Bella Thorne, Mckenna Grace",4.8,"15,917",42.0,PG-13,1 nomination,29.0,42.0
The House,2017-06-29,911,5.627,Comedy,40000000.0,34200000.0,88.0,12.7,"Village Roadshow Pictures, New Line Cinema, Gary Sanchez Productions, Good Universe",United States of America,English,Andrew Jay Cohen,"Brendan O'Brien, Andrew Jay Cohen","Will Ferrell, Amy Poehler, Ryan Simpkins",5.6,"48,372",30.0,R,1 win total,20.0,30.0
2:22,2017-06-29,1457,6.0,"Science Fiction, Mystery, Thriller, Romance",,3945729.0,99.0,13.758,"Screen Australia, Lightstream Pictures, Wild Eddie, 2929 Productions, Screen NSW, Ingenious Media, Good Universe","Australia, United Kingdom, United States of America",English,Paul Currie,"Todd Stein, Nathan Parker","Michiel Huisman, Teresa Palmer, Sam Reid",5.7,"26,104",,PG-13,1 win & 2 nominations,20.0,
Faces Places,2017-06-28,383,7.7,Documentary,,1108983.0,94.0,7.589,"Social Animals, Ciné-Tamaris, ARTE France Cinéma, Rouge International, Arches Films, Cohen Media Group",France,French,"JR, Agnès Varda","JR, Agnès Varda","Agnès Varda, JR, Jeannine Carpentier",7.8,"13,902",94.0,PG,Nominated for 1 Oscar. 36 wins & 41 nominations total,99.0,94.0
Okja,2017-06-28,4280,7.357,"Adventure, Drama, Science Fiction",50000000.0,,122.0,19.03,"Kate Street Picture Company, Plan B Entertainment, Lewis Pictures","South Korea, United States of America","Korean, Spanish, English",Bong Joon Ho,"Bong Joon Ho, Jon Ronson","Tilda Swinton, Paul Dano, Ahn Seo-hyun",7.3,"135,200",75.0,TV-MA,7 wins & 14 nominations total,87.0,75.0
Baby Driver,2017-06-28,15858,7.448,"Action, Crime",34000000.0,226945087.0,113.0,51.349,"Big Talk Studios, Working Title Films, MRC","United Kingdom, United States of America",English,Edgar Wright,Edgar Wright,"Ansel Elgort, Jon Bernthal, Jon Hamm",7.5,"641,809",86.0,R,Nominated for 3 Oscars. 43 wins & 66 nominations total,92.0,86.0
Jungle,2017-06-27,1975,6.625,"Adventure, Drama, Thriller",,1906640.0,115.0,22.951,"Screen Queensland, Screen Australia, Babber Films, Cutting Edge Group","Australia, Colombia, United Kingdom","English, German, Hebrew, Spanish",Greg McLean,"Yossi Ghinsberg, Justin Monjo","Daniel Radcliffe, Thomas Kretschmann, Alex Russell",6.7,"66,525",48.0,R,2 wins & 5 nominations total,60.0,48.0
Godard Mon Amour,2017-06-24,355,6.6,"Drama, Romance, Comedy",12840746.0,82264.0,108.0,7.878,"Les Compagnons du Cinéma, La Classe américaine, France 3 Cinéma, StudioCanal, Forever Group","Myanmar, France","English, French, Italian, Czech",Michel Hazanavicius,"Michel Hazanavicius, Anne Wiazemsky","Louis Garrel, Stacy Martin, Bérénice Bejo",6.6,"6,116",55.0,R,10 nominations,54.0,55.0
The Beguiled,2017-06-23,2156,5.9,Drama,10500000.0,27869129.0,93.0,13.189,American Zoetrope,United States of America,English,Sofia Coppola,"Sofia Coppola, Thomas Cullinan, Albert Maltz","Nicole Kidman, Kirsten Dunst, Elle Fanning",6.3,"64,183",77.0,R,5 wins & 26 nominations total,79.0,77.0
The Bad Batch,2017-06-23,1089,5.3,"Drama, Horror, Science Fiction",6000000.0,180851.0,119.0,12.098,"Annapurna Pictures, Vice Studios, Human Stew Factory",United States of America,English,Ana Lily Amirpour,Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Jayda Fink",5.2,"36,272",62.0,R,1 win & 4 nominations,45.0,62.0
Loving Vincent,2017-06-22,2471,8.0,"Animation, Drama, Mystery, History",5500000.0,42187665.0,95.0,15.887,"Breakthru Films, Trademark Films, Odra Film, Good Deed Entertainment, Centrum Technologii Audiowizualnych","United Kingdom, Poland",English,"DK Welchman, Hugh Welchman","DK Welchman, Hugh Welchman, Jacek Dehnel","Douglas Booth, Jerome Flynn, Robert Gulaczyk",7.8,"64,902",62.0,PG-13,Nominated for 1 Oscar. 23 wins & 54 nominations total,84.0,62.0
The Mansion,2017-06-21,475,4.8,"Horror, Comedy",,,100.0,7.597,Pomme Production,France,"French, German",Tony T. Datis,"Marc Jarousseau, Dominique Gauriaud, Bernardo Barilli","Marc Jarousseau, Nathalie Odzierejko, Ludovik",4.6,"3,035",,PG-13,2 nominations total,,
Happy End,2017-06-21,391,6.17,Drama,13600000.0,,110.0,8.471,"ARTE France Cinéma, France 3 Cinéma, Les Films du Losange, Wega Film, X Filme Creative Pool","Austria, France, Germany","French, English",Michael Haneke,Michael Haneke,"Isabelle Huppert, Jean-Louis Trintignant, Mathieu Kassovitz",6.6,"17,316",72.0,R,2 wins & 8 nominations,69.0,72.0
Escape Room,2017-06-19,723,4.5,"Horror, Thriller",,1870824.0,81.0,16.129,Universum Film,United States of America,English,Will Wernick,"Will Wernick, Noah Dorsey","Evan Williams, Annabelle Stephenson, Elisabeth Hower",4.2,"14,345",,R,,,
The Nile Hilton Incident,2017-06-19,353,6.6,"Thriller, Drama, Crime",4250000.0,81089.0,111.0,7.256,"Atmo Production, Film i Väst, Ostlicht Filmproduktion, Final Cut for Real, Nordsvensk Filmunderhållning, SVT, Scanbox, Copenhagen Film Fund, Svenska Filminstitutet, Eurimages, Mitteldeutsche Medienförderung, Det Danske Filminstitut, Den Vestdanske Filmpulje, Chimney Sweden, Kasbah Films","Denmark, France, Germany, Morocco, Sweden",Arabic,Tarik Saleh,"Tarik Saleh, Magdi Abdelhadi","Fares Fares, Mari Malek, Yasser Ali Maher",6.8,"9,582",70.0,Unrated,10 wins & 6 nominations total,91.0,70.0
You Get Me,2017-06-19,1685,5.6,"Thriller, Romance, Drama",,,89.0,13.032,"Awesomeness Films, Good Universe",United States of America,English,Brent Bonacorso,Ben Epstein,"Bella Thorne, Halston Sage, Taylor John Smith",4.7,"14,676",,TV-MA,,,
Lou,2017-06-16,394,7.5,"Family, Fantasy, Animation, Comedy",,,6.0,7.41,Pixar,United States of America,No Language,Dave Mullins,Dave Mullins,Jack Bright,7.8,"8,585",,G,Nominated for 1 Oscar. 3 nominations total,,
OtherLife,2017-06-16,425,6.365,"Science Fiction, Crime, Mystery",,,96.0,11.339,"Ticket to Ride, See Pictures, Kreo Films, Cherry Road Films, WBMC, Head Gear Films, Metrol Technology",Australia,English,Ben C. Lucas,"Kelley Eskridge, Ben C. Lucas, Gregory Widen","Jessica De Gouw, Liam Graham, Fiona Press",6.2,"17,107",,TV-MA,1 nomination total,,
Overdrive,2017-06-16,949,6.1,"Thriller, Action, Mystery",28210303.0,11247280.0,93.0,15.097,"uMedia, Kinology, Setient Pictures, Paramount Pictures, Overdrive Productions, TF1 Studio, Nexus Factory, Brandt/Haas Productions, Océan Films Distribution, Belga Films","Belgium, France, United States of America","English, French, German",Antonio Negret,"Michael Brandt, Derek Haas","Scott Eastwood, Freddie Thorp, Ana de Armas",5.4,"16,936",,PG-13,,29.0,
The Book of Henry,2017-06-16,1294,7.5,"Drama, Crime, Thriller",10000000.0,4596705.0,105.0,10.89,"Sidney Kimmel Entertainment, Double Nickel Entertainment",United States of America,English,Colin Trevorrow,Gregg Hurwitz,"Naomi Watts, Jaeden Martell, Jacob Tremblay",6.6,"29,892",31.0,PG-13,1 win & 3 nominations total,21.0,31.0
Transformers: The Last Knight,2017-06-16,6289,6.1,"Action, Adventure, Science Fiction",217000000.0,605425157.0,154.0,56.282,"Paramount Pictures, di Bonaventura Pictures, Ian Bryce Productions, DeSanto/Murphy Productions, Hasbro",United States of America,English,Michael Bay,"Art Marcum, Matt Holloway, Ken Nolan","Mark Wahlberg, Anthony Hopkins, Josh Duhamel",5.2,"174,041",27.0,PG-13,3 wins & 20 nominations total,16.0,27.0
Rough Night,2017-06-15,2002,5.7,"Drama, Comedy",20000000.0,45056771.0,101.0,18.359,"Columbia Pictures, LStar Capital, Matt Tolmach Productions, Paulilu",United States of America,English,Lucia Aniello,"Lucia Aniello, Paul W. Downs","Scarlett Johansson, Kate McKinnon, Zoë Kravitz",5.2,"57,006",51.0,R,1 win & 1 nomination total,45.0,51.0
