ID;GENRE_IDS;RELEASE_DATE;VOTE_COUNT;VOTE_AVERAGE;TITLE
777245;[18];2022-12-23;597;6.9;Women Talking
667739;[28, 12, 35];2022-12-23;392;6.445;The Man from Toronto
800815;[53, 80, 27, 9648];2022-12-22;1874;6.8;The Pale Blue Eye
615777;[18, 35];2022-12-22;3215;7.4;Babylon
803700;[18];2022-12-21;715;7.6;The Eight Mountains
696157;[10402, 36, 18];2022-12-20;463;7.0;Whitney Houston: I Wanna Dance with Somebody
76600;[878, 12, 28];2022-12-14;12229;7.611;Avatar: The Way of Water
814757;[18, 10749];2022-12-09;554;6.663;Empire of Light
785084;[18];2022-12-09;4014;7.8;The Whale
315162;[16, 12, 14, 35, 10751];2022-12-07;7994;8.2;Puss in Boots: The Last Wish
783675;[16, 35, 18];2022-12-03;415;7.789;The First Slam Dunk
715931;[18, 10752, 36];2022-12-02;1140;7.785;Emancipation
899112;[35, 28, 53, 14];2022-11-30;2246;7.275;Violent Night
873126;[28, 80, 12, 53];2022-11-30;594;6.638;My Name Is Vendetta
872709;[35, 14, 27, 878];2022-11-30;350;6.1;Smoking Causes Coughing
829280;[12, 9648, 80];2022-11-30;1464;7.36;Enola Holmes 2
736526;[14, 28, 12];2022-11-30;1726;6.6;Troll
876792;[16, 14, 12];2022-11-25;403;7.378;That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond
744594;[35, 18];2022-11-25;696;5.563;White Noise
668482;[10751, 35, 14];2022-11-25;737;6.8;Roald Dahl's Matilda the Musical
821881;[18, 36];2022-11-24;567;7.427;The Swimmers
774752;[35, 878, 12];2022-11-24;2066;7.13;The Guardians of the Galaxy Holiday Special
736918;[10749, 35, 18];2022-11-24;369;6.255;The Noel Diary
877269;[16, 10751, 12, 878, 14];2022-11-23;1276;6.324;Strange World
661374;[35, 80, 9648];2022-11-23;5694;7.048;Glass Onion: A Knives Out Mystery
653851;[10752, 18, 28];2022-11-23;718;7.123;Devotion
814338;[18, 10749];2022-11-22;433;6.648;Lady Chatterley's Lover
1001865;[16, 10751, 14];2022-11-18;441;6.8;Scrooge: A Christmas Carol
952701;[18];2022-11-18;362;6.2;Return to Seoul
791177;[18, 27, 10749];2022-11-18;1385;7.1;Bones and All
668461;[10751, 14, 35];2022-11-18;846;7.314;Slumberland
338958;[35, 10751, 14];2022-11-18;1094;6.7;Disenchanted
837881;[18, 36];2022-11-17;606;7.23;She Said
823999;[80, 28];2022-11-17;464;5.989;Diabolik - Ginko Attacks
593643;[35, 27, 53];2022-11-17;5092;7.179;The Menu
457232;[18, 36];2022-11-17;608;6.4;Lamborghini: The Man Behind the Legend
