IMDBID;TITLE;YEAR;GENRE;DIRECTOR;WRITER;ACTORS;IMDBRATING;IMDBVOTES;METASCORE;BOXOFFICE;RELEASED;RUNTIME;LANGUAGE;COUNTRY;RATED;AWARDS;META_CRITIC_RATING;ROTTEN_TOMATOES_RATING
tt0418599;Christmas in Love;2004;Comedy, Romance;Neri Parenti;Fausto Brizzi, Marco Martani, Neri Parenti;Christian De Sica, Massimo Boldi, Danny DeVito;4.2;1,080;;;17 Dec 2004;118 min;English, Italian;Italy;;1 win & 3 nominations;;
tt0388789;Born Into Brothels: Calcutta's Red Light Kids;2004;Documentary, Biography, News;Zana Briski, Ross Kauffman;Zana Briski, Ross Kauffman;Kochi, Avijit Halder, Shanti Das;7.2;18,209;78;$3,515,061;11 Mar 2005;85 min;Bengali, English;United States;R;Won 1 Oscar. 21 wins & 5 nominations total;78/100;95%
tt0383534;Noel;2004;Drama;Chazz Palminteri;David Hubbard;Susan Sarandon, Penélope Cruz, Paul Walker;6.1;10,964;29;;26 Nov 2004;96 min;English;United States, Canada;PG;;29/100;28%
tt0420332;Veer-Zaara;2004;Drama, Family, Musical;Yash Chopra;Aditya Chopra;Shah Rukh Khan, Preity G Zinta, Rani Mukerji;7.8;59,059;67;$2,938,532;12 Nov 2004;192 min;Hindi;India;Not Rated;30 wins & 42 nominations total;67/100;93%
tt0438844;Far Far Away Idol;2004;Animation, Short, Comedy, Family, Fantasy, Music;Simon J. Smith;David Lipman (screenplay by);Mike Myers, Eddie Murphy, Cameron Diaz, Antonio Banderas;6.3;2,448;;;05 Nov 2004;9 min;English;USA;G;1 nomination.;;
tt0382295;7 Zwerge;2004;Comedy, Family, Fantasy;Sven Unterwaldt Jr.;Bernd Pfarr, Pit Knorr, Hans Zippert;Otto Waalkes, Mirco Nontschew, Boris Aljinovic;4.8;6,480;;;28 Oct 2004;95 min;German;Germany;;5 wins & 1 nomination;;
tt0387925;Chestnut: Hero of Central Park;2004;Comedy, Drama, Family;Robert Vince;Anna McRoberts, Anne Vince;Makenzie Vega, Abigail Breslin, Christine Tucci;5.7;1,513;;;20 Jul 2005;87 min;English;United States;G;1 win;;
tt0366450;Five Children and It;2004;Adventure, Family, Fantasy;John Stephenson;David Solomons, E. Nesbit;Tara Fitzgerald, Freddie Highmore, Alex Jennings;5.5;5,539;;;15 Oct 2004;89 min;English;France, United Kingdom, United States;Not Rated;Won 1 BAFTA Award2 wins total;;63%
tt0417791;Rory O'Shea Was Here;2004;Comedy, Drama;Damien O'Donnell;Jeffrey Caine, Christian O'Reilly;James McAvoy, Steven Robertson, Romola Garai;7.7;16,263;59;$23,844;15 Oct 2004;104 min;English;United Kingdom, Ireland, France;R;5 wins & 8 nominations total;59/100;48%
tt0355954;Riding the Bullet;2004;Horror, Thriller;Mick Garris;Mick Garris, Stephen King;Jonathan Jackson, David Arquette, Barbara Hershey;5.2;11,077;37;$134,711;03 Feb 2005;98 min;English;United States, Germany, Canada;R;1 nomination total;37/100;23%
tt0425458;Six Shooter;2004;Short, Comedy, Drama;Martin McDonagh;Martin McDonagh;Brendan Gleeson, Rúaidhrí Conroy, David Wilmot;7.4;14,640;;;01 Feb 2005;27 min;English;United Kingdom, Ireland;Not Rated;Won 1 Oscar. 6 wins & 2 nominations total;;
tt0430651;Survive Style 5+;2004;Comedy, Fantasy, Horror;Gen Sekiguchi;Taku Tada;Tadanobu Asano, Reika Hashimoto, Kyôko Koizumi;7.4;10,256;;;19 Apr 2005;120 min;Japanese, English;Japan;;3 wins & 1 nomination total;;
tt0365125;A Dirty Shame;2004;Comedy;John Waters;John Waters;Tracey Ullman, Chris Isaak, Selma Blair;5.1;13,747;56;$1,339,668;24 Sep 2004;89 min;English;United States;NC-17;1 win;56/100;
tt0384504;Saving Face;2004;Comedy, Drama, Romance;Alice Wu;Alice Wu;Joan Chen, Michelle Krusiec, Lynn Chen;7.4;14,085;65;$1,187,266;24 Jun 2005;91 min;English, Mandarin, Shanghainese;United States;R;3 wins & 3 nominations total;65/100;88%
tt0422091;Dhoom;2004;Action, Crime, Drama;Sanjay Gadhvi;Vijay Krishna Acharya;Abhishek Bachchan, John Abraham, Uday Chopra;6.6;23,071;;$245,756;27 Aug 2004;129 min;Hindi, English;India;Not Rated;16 wins & 26 nominations;;
tt0472458;Dumplings;2004;Drama, Horror;Fruit Chan;Pik-Wah Lee;Bai Ling, Miriam Chin-Wah Yeung, Sum-Yeung Wong;6.7;10,659;;;19 Aug 2004;91 min;Mandarin, Cantonese;Hong Kong;Not Rated;3 wins & 3 nominations total;;
tt0452039;Mind Game;2004;Animation, Adventure, Comedy;Masaaki Yuasa, Kôji Morimoto;Robin Nishi, Masaaki Yuasa;Kôji Imada, Sayaka Maeda, Takashi Fujii;7.7;11,039;66;$36,613;26 Jun 2005;103 min;Japanese;Japan;Not Rated;1 win;66/100;100%
tt0167456;Thunderbirds;2004;Action, Adventure, Comedy;Jonathan Frakes;Gerry Anderson, Sylvia Anderson, Peter Hewitt;Bill Paxton, Anthony Edwards, Ben Kingsley;4.3;14,618;36;$6,880,917;30 Jul 2004;95 min;English;United Kingdom, France, United States;PG;1 win & 1 nomination;36/100;19%
tt0435286;Pokémon the Movie: Destiny Deoxys;2004;Animation, Action, Adventure;Kunihiko Yuyama;James Carter Cathcart, Hideki Sonoda;Veronica Taylor, Eric Stuart, Amy Birnbaum;6.1;4,600;;;22 Jan 2005;98 min;Japanese, English;Japan, United States;Not Rated;;;
tt0348593;The Door in the Floor;2004;Comedy, Drama;Tod Williams;John Irving, Tod Williams;Jeff Bridges, Kim Basinger, Jon Foster;6.6;16,355;67;$3,854,624;06 Aug 2004;111 min;English;United States;R;2 wins & 7 nominations total;67/100;67%
tt0410696;Stuck in the Suburbs;2004;Comedy, Family, Music;Savage Steve Holland;Wendy Engelberg, Amy Engelberg, Dan Berendsen;Danielle Panabaker, Brenda Song, Amanda Shaw;5.5;4,533;;;16 Jul 2004;76 min;English;United States;TV-G;;;
tt0365265;Ginger Snaps Back: The Beginning;2004;Drama, Horror, Thriller;Grant Harvey;Christina Ray, Stephen Massicotte;Katharine Isabelle, Emily Perkins, Nathaniel Arcand;5.8;11,980;;;27 Aug 2004;94 min;English, Cree;Canada;R;1 nomination total;;60%
tt0331952;The Clearing;2004;Drama, Mystery, Thriller;Pieter Jan Brugge;Pieter Jan Brugge, Justin Haythe;Robert Redford, Willem Dafoe, Helen Mirren;5.8;14,453;60;$5,763,875;16 Jul 2004;95 min;English;United Kingdom, Germany, United States;R;1 nomination;60/100;43%
tt0374627;Double zéro;2004;Action, Adventure, Comedy;Gérard Pirès;Alexandre Coquelle, Matthieu Le Naour;Eric Judor, Ramzy Bedia, Edouard Baer;4.1;2,377;;;16 Jun 2004;90 min;French, English;France, United Kingdom;;;;
tt0318590;Cazuza: Time Doesn't Stop;2004;Biography, Drama, Music;Walter Carvalho, Sandra Werneck;Lucinha Araújo, Fernando Bonassi, Victor Navas;Daniel de Oliveira, Marieta Severo, Reginaldo Faria;6.9;4,327;;;11 Jun 2004;98 min;Portuguese, English;Brazil;;23 wins & 18 nominations;;
tt0387412;Metallica: Some Kind of Monster;2004;Documentary, Music;Joe Berlinger, Bruce Sinofsky;;James Hetfield, Kirk Hammett, Lars Ulrich;7.5;20,623;74;$1,222,708;01 Sep 2004;84 min;English;United States;Not Rated;6 wins & 4 nominations;74/100;88%
tt0386792;Something the Lord Made;2004;Biography, Drama;Joseph Sargent;Peter Silverman, Robert Caswell;Cliff McMullen, Yasiin Bey, Luray Cooper;8.1;16,164;;;30 May 2004;110 min;English;United States;TV-PG;Won 3 Primetime Emmys. 17 wins & 32 nominations total;;
tt0391891;Cruel Intentions 3;2004;Drama;Scott Ziehl;Rhett Reese;Kerr Smith, Kristina Anapau, Nathan Wetherington;4.7;8,859;;;25 May 2004;85 min;English;United States;R;1 nomination;;
tt0313021;Der Wixxer;2004;Comedy, Crime, Mystery;Tobi Baumann;Oliver Kalkofe, Oliver Welke, Bastian Pastewka;Oliver Kalkofe, Bastian Pastewka, Thomas Fritsch;6.2;9,329;;;20 May 2004;85 min;German;Germany;;1 win & 1 nomination;;
tt0377749;Dead Birds;2004;Horror, Thriller, Western;Alex Turner;Simon Barrett;Henry Thomas, Patrick Fugit, Nicki Aycox;5.6;11,370;;;13 Feb 2005;91 min;English;United States;R;3 nominations;;60%
tt0364961;The Assassination of Richard Nixon;2004;Biography, Crime, Drama;Niels Mueller;Kevin Kennedy, Niels Mueller;Sean Penn, Naomi Watts, Don Cheadle;6.9;26,229;63;$708,776;22 Oct 2004;95 min;English;United States, Mexico;R;2 wins & 4 nominations;63/100;67%
tt0385705;The Football Factory;2004;Crime, Drama, Sport;Nick Love;John King, Nick Love;Danny Dyer, Frank Harper, Tamer Hassan;6.7;33,476;;;14 May 2004;91 min;English;United States, United Kingdom;R;1 win & 1 nomination total;;38%
tt0338097;Head in the Clouds;2004;Drama, Romance, War;John Duigan;John Duigan;Charlize Theron, Stuart Townsend, Penélope Cruz;6.5;15,918;40;$398,278;30 Oct 2004;132 min;English, German, French, Spanish;United Kingdom, Canada, United States;R;7 wins & 5 nominations;40/100;17%
tt0405821;Casshern;2004;Action, Sci-Fi;Kazuaki Kiriya;Kazuaki Kiriya, Dai Satô, Shotaro Suga;Yûsuke Iseya, Kumiko Asô, Akira Terao;6.0;13,869;;;24 Apr 2004;142 min;Japanese;Japan;Not Rated;1 nomination;;70%
tt0330099;The Brown Bunny;2003;Drama;Vincent Gallo;Vincent Gallo;Vincent Gallo, Chloë Sevigny, Cheryl Tiegs;4.9;16,981;51;$366,301;14 Nov 2003;93 min;English;United States, Japan;Not Rated;1 win & 6 nominations total;51/100;47%
tt0325596;The I Inside;2004;Mystery, Sci-Fi, Thriller;Roland Suso Richter;Michael Cooney, Timothy Scott Bogart;Ryan Phillippe, Sarah Polley, Piper Perabo;6.0;11,511;;;21 May 2004;90 min;English;United Kingdom, United States;R;;;43%
tt0330702;Don't Move;2004;Drama, Romance;Sergio Castellitto;Margaret Mazzantini, Sergio Castellitto;Penélope Cruz, Sergio Castellitto, Claudia Gerini;7.0;8,684;59;$337,265;12 Mar 2004;125 min;Italian;Italy, Spain, United Kingdom;;16 wins & 28 nominations total;59/100;47%
tt1010435;One Piece: The Cursed Holy Sword;2004;Animation, Action, Adventure;Kazuhisa Takenouchi;Eiichirô Oda, Yoshiyuki Suga;Takeshi Aono, Takahiro Fujimoto, Kôhei Fukuhara;6.5;2,649;;;06 Mar 2004;95 min;Japanese;Japan;TV-14;;;
tt0397619;Samaritan Girl;2004;Drama;Kim Ki-duk;Kim Ki-duk;Lee Eol, Kwak Ji-min, Han Yeo-reum;7.0;14,197;;;05 Mar 2004;97 min;Korean;South Korea;R;2 wins & 2 nominations;;50%
tt0378284;Machuca;2004;Biography, Drama, History;Andrés Wood;Eliseo Altunaga, Roberto Brodsky, Mamoun Hassan;Matías Quer, Ariel Mateluna, Manuela Martelli;7.7;12,778;76;$26,676;11 Jun 2004;121 min;Spanish, English;Chile, Spain, United Kingdom, France;Not Rated;13 wins & 7 nominations;76/100;87%
tt0402764;L'amore è eterno finché dura;2004;Comedy, Romance;Carlo Verdone;Francesca Marciano, Pasquale Plastino, Carlo Verdone;Carlo Verdone, Laura Morante, Stefania Rocca;6.2;1,262;;;20 Feb 2004;108 min;Italian;Italy;;2 wins & 4 nominations;;
tt0805605;Saint Seiya: Heaven Chapter - Overture;2004;Animation, Fantasy;Shigeyasu Yamauchi;Michiko Yokote, Akatsuki Yamatoya, Masami Kurumada;Tôru Furuya, Hirotaka Suzuoki, Kôichi Hashimoto;7.0;1,548;;;02 Nov 2006;84 min;Japanese;Japan;;;;
tt0339147;Highwaymen;2004;Action, Crime, Horror;Robert Harmon;Craig Mitchell, Hans Bauer;Jim Caviezel, Rhona Mitra, Frankie Faison;5.6;9,615;49;$371,396;19 Feb 2004;80 min;English;United States, Canada;R;2 nominations;49/100;13%
tt0276830;Renegade;2004;Adventure, Fantasy, Western;Jan Kounen;Matthieu Le Naour, Alexandre Coquelle, Gérard Brach;Vincent Cassel, Michael Madsen, Juliette Lewis;5.2;12,425;;;11 Feb 2004;124 min;English, Athapascan languages, German, French, Spanish, Apache languages;United Kingdom, France, Mexico;R;1 win & 1 nomination;;22%
tt0345551;Latter Days;2003;Comedy, Drama, Romance;C. Jay Cox;C. Jay Cox;Wes Ramsey, Steve Sandvoss, Mary Kay Place;7.0;18,819;45;$834,685;01 Jul 2004;107 min;English;United States;R;3 wins;45/100;44%
tt0315824;The Big Bounce;2004;Comedy, Crime;George Armitage;Elmore Leonard, Sebastian Gutierrez;Owen Wilson, Morgan Freeman, Gary Sinise;4.9;18,939;42;$6,489,476;30 Jan 2004;88 min;English;United States;PG-13;;42/100;16%
tt0337579;Barbershop 2: Back in Business;2004;Comedy, Drama;Kevin Rodney Sullivan;Mark Brown, Don D. Scott;Ice Cube, Cedric The Entertainer, Eve;5.7;16,322;59;$65,111,277;06 Feb 2004;106 min;English;United States;PG-13;2 wins & 10 nominations total;59/100;69%
tt0330691;The Card Player;2003;Horror, Mystery, Thriller;Dario Argento;Dario Argento, Franco Ferrini;Stefania Rocca, Liam Cunningham, Silvio Muccino;4.9;5,725;48;;02 Jan 2004;103 min;Italian;Italy;Not Rated;1 nomination;48/100;22%
tt0378230;The Land Before Time X: The Great Longneck Migration;2003;Animation, Adventure, Family;Charles Grosvenor;John Loy (screenplay), Judy Freudberg (characters), Tony Geiss (characters);John Ingle, Alec Medlock, Kenneth Mars, Miriam Flynn;6.1;2,399;;;02 Dec 2003;84 min;English;USA;G;2 nominations.;;
tt0342108;Beethoven's 5th;2003;Comedy, Family, Adventure;Mark Griffiths;Cliff Ruby, Elana Lesser, John Hughes (characters), Amy Holden Jones (characters);Dave Thomas, Faith Ford, Daveigh Chase, Tom Poston;4.2;3,086;;;02 Dec 2003;91 min;English;USA;G;;;
tt0373981;Control;2003;Comedy, Crime, Drama;Nimród Antal;Nimród Antal, Jim Adler;Sándor Csányi, Eszter Balla, Zoltán Mucsi;7.6;27,322;72;$237,183;20 Nov 2003;111 min;Hungarian;Hungary;R;19 wins & 5 nominations;72/100;82%
tt0317910;The Fog of War;2003;Documentary, Biography, History;Errol Morris;;Robert McNamara, John F. Kennedy, Fidel Castro;8.1;25,488;87;$4,198,566;05 Mar 2004;107 min;English;United States;PG-13;Won 1 Oscar. 14 wins & 16 nominations total;87/100;96%
tt0366287;Caterina in the Big City;2003;Comedy, Drama;Paolo Virzì;Francesco Bruni, Paolo Virzì;Alice Teghil, Sergio Castellitto, Margherita Buy;6.8;3,186;63;$296,464;24 Oct 2003;107 min;Italian;Italy;Unrated;7 wins & 9 nominations;63/100;90%
tt0335563;Wonderland;2003;Crime, Drama, Mystery;James Cox;James Cox, Captain Mauzner, Todd Samovitz;Val Kilmer, Lisa Kudrow, Kate Bosworth;6.5;23,777;43;$1,060,512;24 Oct 2003;104 min;English;United States, Canada;R;3 nominations;43/100;34%
tt0311648;Pieces of April;2003;Comedy, Drama;Peter Hedges;Peter Hedges;Katie Holmes, Oliver Platt, Patricia Clarkson;7.0;22,390;70;$2,528,664;28 Nov 2003;80 min;English, Mandarin;United States;PG-13;Nominated for 1 Oscar. 15 wins & 22 nominations total;70/100;84%
tt0350193;Take My Eyes;2003;Drama, Romance;Icíar Bollaín;Icíar Bollaín, Alicia Luna;Laia Marull, Luis Tosar, Candela Peña;7.4;7,615;74;$30,496;10 Oct 2003;109 min;Spanish;Spain;Not Rated;42 wins & 17 nominations;74/100;91%
tt0373283;Saints and Soldiers;2003;Action, Drama, War;Ryan Little;Geoffrey Panos, Matt Whitaker;Corbin Allred, Alexander Polinsky, Kirby Heyborne;6.7;21,575;56;$1,310,470;25 Mar 2005;90 min;English, German;United States;PG-13;16 wins & 2 nominations;56/100;66%
tt0379225;The Corporation;2003;Documentary, History;Mark Achbar, Jennifer Abbott;Joel Bakan, Harold Crooks, Mark Achbar;Mikela Jay, Rob Beckwermert, Christopher Gora;8.0;21,936;73;$3,493,516;04 Jun 2004;145 min;English, Spanish;Canada;Not Rated;12 wins & 1 nomination;73/100;89%
tt0339840;Undead;2003;Action, Comedy, Fantasy;Michael Spierig, Peter Spierig;Michael Spierig, Peter Spierig;Felicity Mason, Mungo McKay, Rob Jenkins;5.3;14,981;34;$41,196;04 Sep 2003;97 min;English;Australia;R;3 wins & 4 nominations total;34/100;32%
tt0254481;Koi... Mil Gaya;2003;Action, Drama, Fantasy;Rakesh Roshan;Rakesh Roshan, Honey Irani, Sachin Bhowmick;Rekha, Hrithik Roshan, Preity G Zinta;7.1;28,267;;$671,372;08 Aug 2003;171 min;Hindi, English;India;Not Rated;42 wins & 35 nominations;;80%
tt0377770;Destino;2003;Animation, Short;Dominique Monfery;Salvador Dalí, John Hench, Donald W. Ernst;Dora Luz, Jennifer Esposito;7.6;6,156;;;05 Aug 2003;7 min;English;France, United States;PG;Nominated for 1 Oscar. 6 wins & 2 nominations total;;100%
tt0420076;Pokémon: Jirachi - Wish Maker;2003;Animation, Action, Adventure;Kunihiko Yuyama, Eric Stuart;Hideki Sonoda;Rica Matsumoto, Veronica Taylor, Eric Stuart;5.7;4,776;;;01 Jun 2004;81 min;Japanese, English;Japan, United States;Unrated;;;
tt0361668;Gozu;2003;Crime, Drama, Horror;Takashi Miike;Sakichi Sato;Yûta Sone, Kimika Yoshino, Shohei Hino;6.9;12,961;58;$58,202;14 Jul 2004;129 min;Japanese;Japan;R;5 wins & 3 nominations;58/100;71%
tt0318283;Alex & Emma;2003;Comedy, Romance;Rob Reiner;Jeremy Leven;Luke Wilson, Kate Hudson, David Paymer;5.5;13,998;32;$14,218,698;20 Jun 2003;96 min;English, French;United States;PG-13;1 win & 1 nomination;32/100;11%
tt0305568;Fanfan;2003;Adventure, Comedy, Romance;Gérard Krawczyk;Luc Besson, Jean Cosmos;Vincent Perez, Penélope Cruz, Didier Bourdon;5.7;5,591;;$32,686;14 May 2003;97 min;French;France;;2 nominations;;14%
tt2055789;Turbo Charged Prelude to 2 Fast 2 Furious;2003;Short, Action, Sport;Philip G. Atwell;Keith Dinielli, Gary Scott Thompson (characters);Paul Walker;6.2;3,452;;;03 Jun 2003;6 min;English;USA;Not Rated;;;
tt0360985;Shrek 4-D;2003;Animation, Short, Adventure, Comedy, Family, Fantasy;Simon J. Smith;William Steig (characters), David Lipman;Mike Myers, Eddie Murphy, Cameron Diaz, John Lithgow;6.3;4,711;;;18 Sep 2009;13 min;English;USA, Japan;TV-PG;;;
tt0314786;The In-Laws;2003;Action, Comedy, Thriller;Andrew Fleming;Andrew Bergman, Nat Mauldin, Ed Solomon;Albert Brooks, Michael Douglas, Ryan Reynolds;5.7;18,113;46;$20,453,431;23 May 2003;98 min;English, French, Mandarin;United States, Germany, Canada;PG-13;;46/100;33%
tt0323939;Shade;2003;Crime, Thriller;Damian Nieman;Damian Nieman;Joe Nicolo, Carl Mazzocone Sr., George Tovar;6.3;13,373;40;$25,032;09 May 2004;101 min;English;United States;R;;40/100;67%
tt0302297;Barely Legal;2003;Comedy;David Mickey Evans;David H. Steinberg;Erik von Detten, Tony Denman, Daniel Farber;4.7;6,439;;$26,511;25 May 2006;90 min;English;Germany, United States;R;;;
tt0365043;The Challenge;2003;Adventure, Comedy, Family;Craig Shapiro;Michael Swerdlick, Elizabeth Kruger;Ashley Olsen, Mary-Kate Olsen, Brian Skala;5.2;3,328;;;18 May 2005;92 min;English;United States;G;;;
tt0310281;A Mighty Wind;2003;Comedy, Music;Christopher Guest;Christopher Guest, Eugene Levy;Christopher Guest, Eugene Levy, Michael McKean;7.2;29,900;81;$17,781,006;09 May 2003;91 min;English, Yiddish;United States;PG-13;Nominated for 1 Oscar. 14 wins & 28 nominations total;81/100;87%
tt0297144;Ghosts of the Abyss;2003;Documentary, Family;James Cameron;;Bill Paxton, Lori Johnston, Lewis Abernathy;6.8;6,530;67;$17,040,871;10 Sep 2003;61 min;English;France, United States;G;1 nomination total;67/100;80%
tt0328099;Malibu's Most Wanted;2003;Comedy, Crime;John Whitesell;Fax Bahr, Adam Small, Jamie Kennedy;Jamie Kennedy, Ryan O'Neal, Blair Underwood;5.2;21,287;43;$34,432,201;18 Apr 2003;86 min;English;United States;PG-13;3 nominations total;43/100;32%
tt0325537;Head of State;2003;Comedy;Chris Rock;Chris Rock, Ali LeRoi;Chris Rock, Bernie Mac, Lynn Whitfield;5.5;21,537;44;$38,125,247;28 Mar 2003;95 min;English;United States;PG-13;10 nominations;44/100;30%
tt0363292;Sex with Love;2003;Comedy, Romance;Boris Quercia;Boris Quercia;Sigrid Alegría, Francisco Pérez-Bannen, Patricio Contreras;6.2;2,702;;;27 Mar 2003;108 min;Spanish;Chile;;8 wins & 4 nominations;;
tt0342492;The Green Butchers;2003;Comedy, Drama;Anders Thomas Jensen;Anders Thomas Jensen;Nikolaj Lie Kaas, Mads Mikkelsen, Line Kruse;7.2;25,111;54;$3,783;21 Mar 2003;100 min;Danish;Denmark;R;7 wins & 8 nominations;54/100;63%
tt0298408;Laurel Canyon;2002;Drama;Lisa Cholodenko;Lisa Cholodenko;Frances McDormand, Alessandro Nivola, Christian Bale;6.4;17,739;61;$3,663,356;28 Mar 2003;103 min;English;United States;R;2 wins & 6 nominations total;61/100;68%
tt0323807;Remember Me, My Love;2003;Comedy, Romance, Drama;Gabriele Muccino;Gabriele Muccino, Heidrun Schleef;Fabrizio Bentivoglio, Laura Morante, Nicoletta Romanoff;6.4;4,491;53;$227,986;14 Feb 2003;125 min;Italian, French, English;Italy, France, United Kingdom;R;8 wins & 28 nominations;53/100;55%
tt0339230;Kopps;2003;Action, Comedy;Josef Fares;Josef Fares, Mikael Håfström, Vasa;Fares Fares, Torkel Petersson, Göran Ragnerstam;6.7;23,187;;;07 Feb 2003;90 min;Swedish, English;Sweden, Denmark;;5 wins & 1 nomination;;
tt0239641;Mimic 2;2001;Horror, Thriller, Sci-Fi;Jean de Segonzac;"Donald A. Wollheim (short story ""Mimic""), Joel Soisson";Alix Koromzay, Bruno Campos, Will Estes, Gaven E. Lucas;4.6;5,144;;;17 Jul 2001;82 min;English;USA;R;1 win & 2 nominations.;;8%
tt0282120;The Wild Thornberrys;2002;Animation, Adventure, Comedy;Cathy Malkasian, Jeff McGrath;Kate Boutilier, Arlene Klasky, Gabor Csupo;Tim Curry, Rupert Everett, Flea;5.7;15,452;69;$40,108,697;20 Dec 2002;85 min;English;United States, Hungary;PG;Nominated for 1 Oscar. 13 nominations total;69/100;80%
tt0346094;Distant;2002;Drama;Nuri Bilge Ceylan;Nuri Bilge Ceylan;Muzaffer Özdemir, Mehmet Emin Toprak, Zuhal Gencer;7.5;23,334;84;$106,622;20 Dec 2002;110 min;Turkish;Turkey;Not Rated;31 wins & 8 nominations;84/100;87%
tt0345543;The Land Before Time IX: Journey to Big Water;2002;Animation, Adventure, Family;Charles Grosvenor;Dev Ross (screenplay), Judy Freudberg (characters), Tony Geiss (characters);John Ingle, Kenneth Mars, Miriam Flynn, Thomas Dekker;5.8;2,460;;;10 Dec 2002;71 min;English;USA;G;1 win & 6 nominations.;;
tt0314111;Godzilla Against Mechagodzilla;2002;Action, Sci-Fi, Thriller;Masaaki Tezuka, Kazuki Ômori;Wataru Mimura;Yumiko Shaku, Shin Takuma, Kana Onodera;6.6;5,778;;;14 Dec 2002;88 min;Japanese;Japan;Not Rated;;;
tt0283632;They;2002;Horror, Mystery, Thriller;Robert Harmon;Brendan Hood;Laura Regan, Marc Blucas, Ethan Embry;4.8;14,209;31;$12,840,842;27 Nov 2002;89 min;English;United States, Canada;PG-13;1 win & 1 nomination;31/100;38%
tt0259484;Paid in Full;2002;Action, Crime, Drama;Charles Stone III;Azie Faison Jr., Austin Phillips, Matthew Cirulnick;Mekhi Phifer, Wood Harris, Chi McBride;7.0;14,741;49;$3,090,862;25 Oct 2002;97 min;English;United States;R;1 nomination total;49/100;53%
tt0298744;Auto Focus;2002;Biography, Crime, Drama;Paul Schrader;Robert Graysmith, Michael Gerbosi;Greg Kinnear, Willem Dafoe, Maria Bello;6.7;15,372;66;$2,063,196;01 Nov 2002;105 min;English;United States;R;6 nominations;66/100;71%
tt0291502;Swept Away;2002;Comedy, Romance;Guy Ritchie;Guy Ritchie, Lina Wertmüller;Madonna, Adriano Giannini, Bruce Greenwood;3.6;18,162;18;$598,645;11 Oct 2002;89 min;English, Greek, Italian;United Kingdom, Italy;R;8 wins & 8 nominations;18/100;6%
tt0286306;Deathwatch;2002;Drama, Horror, War;M.J. Bassett;M.J. Bassett;Jamie Bell, Rúaidhrí Conroy, Mike Downey;5.9;13,442;;;06 Dec 2002;94 min;English, French, German;United Kingdom, Germany;R;1 win & 5 nominations;;25%
tt0271259;Welcome to Collinwood;2002;Comedy, Crime;Anthony Russo, Joe Russo;Anthony Russo, Joe Russo;George Clooney, Sam Rockwell, William H. Macy;6.3;15,868;61;$336,620;18 Oct 2002;86 min;English;United States, Germany;R;2 nominations total;61/100;55%
tt0280969;My Little Eye;2002;Horror, Mystery, Thriller;Marc Evans;David Hilton, James Watkins;Sean Cw Johnson, Kris Lemche, Stephen O'Reilly;5.5;13,023;;;27 Apr 2004;95 min;English;United Kingdom, United States, France, Canada;R;3 wins & 4 nominations;;70%
tt0313196;The Crime of Padre Amaro;2002;Drama, Romance;Carlos Carrera;Vicente Leñero, Eça de Queirós;Gael García Bernal, Ana Claudia Talancón, Sancho Gracia;6.7;14,550;60;$5,717,044;13 Dec 2002;118 min;Spanish;Mexico, Argentina, Spain;R;Nominated for 1 Oscar. 21 wins & 15 nominations total;60/100;63%
tt0319769;Mondays in the Sun;2002;Comedy, Drama;Fernando León de Aranoa;Fernando León de Aranoa, Ignacio del Moral;Javier Bardem, Luis Tosar, José Ángel Egido;7.5;15,616;64;$153,256;27 Sep 2002;113 min;Spanish;Spain, France, Italy;R;47 wins & 19 nominations;64/100;80%
tt0272147;Vampires: Los Muertos;2002;Action, Horror, Thriller;Tommy Lee Wallace;Tommy Lee Wallace;Jon Bon Jovi, Cristián de la Fuente, Natasha Gregson Wagner;4.5;8,245;;;27 Jun 2003;93 min;English;United States, Mexico;R;1 nomination;;20%
tt0280460;The Banger Sisters;2002;Comedy, Drama;Bob Dolman;Bob Dolman;Susan Sarandon, Goldie Hawn, Geoffrey Rush;5.7;17,585;48;$30,307,416;20 Sep 2002;98 min;English;United States;R;1 win & 1 nomination total;48/100;48%
tt0179098;Moonlight Mile;2002;Drama, Romance;Brad Silberling;Brad Silberling;Jake Gyllenhaal, Dustin Hoffman, Susan Sarandon;6.6;14,841;59;$6,835,856;04 Oct 2002;117 min;English, Hebrew;United States;PG-13;1 win & 6 nominations;59/100;63%
tt0313670;Sweet Sixteen;2002;Crime, Drama;Ken Loach;Paul Laverty;Martin Compston, Michelle Coulter, Annmarie Fulton;7.4;15,973;86;$316,319;04 Oct 2002;106 min;English, Scots;United Kingdom, Germany, Spain;R;10 wins & 17 nominations;86/100;97%
tt0283026;Swimfan;2002;Drama, Thriller;John Polson;Charles F. Bohl, Phillip Schneider;Jesse Bradford, Erika Christensen, Shiri Appleby;5.1;21,553;29;$28,564,995;06 Sep 2002;85 min;English;United States;PG-13;;29/100;15%
tt0322725;The Embalmer;2002;Drama, Romance;Matteo Garrone;Ugo Chiti, Massimo Gaudioso, Matteo Garrone;Ernesto Mahieux, Valerio Foglia Manzillo, Elisabetta Rocchetti;7.0;3,025;71;$56,878;06 Sep 2002;100 min;Italian;Italy;Not Rated;16 wins & 20 nominations;71/100;81%
